Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Dead Space 3,2/5/2013,Visceral Games,Electronic Arts,Linear Action Adventure,Rated M For Mature,6.5,834
FaceBreaker,9/5/2008,EA Canada,EA Sports,Combat Sport,Rated T For Teen,6.2,14
Skelattack,6/2/2020,Ukuza,Konami,2D Platformer,Rated E +10 For Everyone +10,6.4,14
Cities: Skylines - Natural Disaster,11/29/2016,Colossal Order,Paradox Interactive,Management,Rated E For Everyone,6.2,18
A Case of Distrust,2/8/2018,The Wandering Ben,Serenity Forge,Adventure,,5.8,13
Daymare: 1994 Sandcastle,8/30/2023,Invader Studios,GS2 Games,Survival,Rated M For Mature,5.7,20
Samurai Warriors 4 Empires,3/15/2016,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up,,7.2,28
Dark Void,1/19/2010,Airtight Games,Capcom,Third Person Shooter,Rated T For Teen,5.2,47
Dynasty Warriors 4: Empires,8/31/2004,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,6.7,11
ZEN Pinball 2: South Park: Super-Sweet Pinball,10/14/2014,Zen Studios,Zen Studios,Pinball,Rated E +10 For Everyone +10,6,28
Clash: Artifacts of Chaos,3/9/2023,ACE Team,Nacon,Action Adventure,Rated T For Teen,6.7,19
Gran Turismo 3: A-Spec,7/9/2001,Polyphony Digital,SCEA,Auto Racing Sim,Rated E For Everyone,8.4,378
EyeToy: AntiGrav,11/9/2004,Harmonix Music Systems,SCEA,Individual Sports,Rated E For Everyone,,
Ultima Online: Third Dawn,3/26/2001,Electronic Arts,Electronic Arts,MMORPG,Rated T For Teen,,
Skate It by EA,5/10/2010,Electronic Arts,Electronic Arts,Skating,,,
Stake: Fortune Fighters,5/6/2003,Gameness Art Software,Metro3D,3D Fighting,Rated T For Teen,4.8,
Bayonetta 3,10/28/2022,PlatinumGames,Nintendo,Linear Action Adventure,Rated M For Mature,7.2,706
Diggles,3/20/2002,Innonics,Strategy First,Real-Time Strategy,Rated T For Teen,8.3,36
Fallout 4 VR,12/11/2017,Bethesda Game Studios,Bethesda Softworks,Western RPG,,5,78
TV Show King,5/12/2008,Gameloft,Gameloft,Trivia,Rated E +10 For Everyone +10,,
IGPX: Immortal Grand Prix,9/12/2006,Sting,Namco Bandai Games,Future Racing,Rated E +10 For Everyone +10,,
Shadowhand,12/7/2017,Grey Alien Games,Positech Games,Card Battle,,6.7,6
Radiation Island,1/29/2015,Atypical Games,Atypical Games,Survival,,6.4,16
Shadows of Adam,2/23/2017,Something Classic Games,Something Classic Games,JRPG,,6.9,23
Tempest: Pirate Action RPG,8/22/2016,Lion's Shade,HeroCraft,Marine Combat Sim,,4.7,14
Record of Lodoss War,2/26/2001,Neverland,Conspiracy Entertainment,Action RPG,Rated M For Mature,8.1,15
Adventures of Mana,6/28/2016,MCF,Square Enix,Action RPG,Rated E +10 For Everyone +10,8.1,25
Dawn of the Monsters,3/15/2022,13AM Games,WayForward,2D Beat-'Em-Up,Rated T For Teen,,
Pictionary (2010),11/14/2010,Page 44 Studios,THQ,Board,Rated E For Everyone,,
oOo: Ascension,5/25/2018,Kenny Creanor,Extra Mile Studios,Arcade,Rated E For Everyone,7.3,9
Assassin's Creed II,11/17/2009,Ubisoft Montreal,Ubisoft,Open-World Action,Rated M For Mature,8.8,2024
JYDGE,10/3/2017,10tons,10tons,Top-Down Shoot-'Em-Up,Rated T For Teen,6.5,11
Rhiannon: Curse of the Four Branches,10/5/2008,Arberth Studios,Got Game Entertainment,Point-and-Click,Rated T For Teen,6.2,11
Monster Hunter 3 Ultimate,3/19/2013,Capcom,Capcom,Action RPG,Rated T For Teen,8.3,337
Emperor: Battle for Dune,6/12/2001,Westwood Studios,EA Games,Real-Time Strategy,Rated T For Teen,8.5,80
Kero Blaster,5/11/2014,Studio Pixel,Studio Pixel,2D Platformer,,7.2,45
Total War: WARHAMMER - Call of the Beastmen,7/28/2016,Creative Assembly,Sega,Turn-Based Strategy,,4.8,24
The Fancy Pants Adventures,4/20/2011,Over the Top Games,Electronic Arts,2D Platformer,Rated E For Everyone,7.5,8
Amped 3,11/16/2005,2K Sports,2K Sports,Skiing,Rated T For Teen,7.4,22
Tank Universal: Challenger Eight,8/21/2008,Dialogue Design,Meridian4,FPS,,5,13
Carnival Games: Mini-Golf,10/20/2008,Cat Daddy Games,2K Play,Golf,Rated E For Everyone,,
Call of Duty: Warzone Caldera,3/10/2020,Infinity Ward,Activision,Tactical FPS,Rated M For Mature,4.1,1146
Button City,8/10/2021,Subliminal,Subliminal,Adventure,Rated E For Everyone,,
VR Ping Pong Pro,11/12/2019,Reddoll Srl,Merge Games,Individual Sports,Rated E For Everyone,5.3,
LEGO Battles: Ninjago,4/12/2011,Hellbent Games,Warner Bros. Interactive Entertainment,Real-Time Strategy,Rated E For Everyone,8.1,23
Disciples II: Servants of the Dark,6/30/2003,Strategy First,Strategy First,Turn-Based Strategy,Rated T For Teen,7.2,25
Cat Quest II: The Lupus Empire,9/24/2019,The Gentlebros,PQube,Action RPG,,7.7,33
Half-Life 2: Episode One,6/1/2006,Valve Software,Valve Software,FPS,Rated M For Mature,8.7,1743
Ad Infinitum,9/14/2023,Hekate,Nacon,Survival,Rated M For Mature,5.5,11
Super Cloudbuilt,7/25/2017,"Coilworks, Double Eleven",Double Eleven,Action Adventure,Rated T For Teen,6.7,10
A Golden Wake,10/9/2014,Grundislav Games,Wadjet Eye Games,Point-and-Click,,6,20
DreamWorks How to Train Your Dragon,3/23/2010,Etranges Libellules,Activision,Action Adventure,Rated E +10 For Everyone +10,8.4,7
Geometry Wars: Retro Evolved,11/22/2005,Bizarre Creations,Bizarre Creations,Top-Down Shoot-'Em-Up,Rated E For Everyone,8.1,44
Tembo the Badass Elephant,7/21/2015,Game Freak,Sega,Action Adventure,Rated E +10 For Everyone +10,6.6,57
Dark Nebula - Episode Two,8/5/2010,1337 Game Design,1337 Game Design,Action,,6.7,10
Ragdoll Blaster 3,2/9/2012,Backflip Studios,Backflip Studios,Puzzle,,,
Saving Yello,11/17/2011,dreamfab,dreamfab,Action,,,
DAVE THE DIVER,6/28/2023,MINT ROCKET,MINT ROCKET,Action Adventure,,8.2,318
Lunar 2: Eternal Blue,12/15/2000,Game Arts,Working Designs,JRPG,Rated T For Teen,8.5,55
Def Jam Vendetta,3/31/2003,Aki Corp.,EA Sports Big,Wrestling,Rated T For Teen,7.7,33
El Tigre: The Adventures of Manny Rivera,10/29/2007,Blue Tongue Entertainment,THQ,Action,Rated E For Everyone,,
Maglam Lord,2/4/2022,Felistella,PQube,Action RPG,Rated T For Teen,,
Tenchu Z,6/12/2007,K2 LLC,Microsoft Game Studios,Action Adventure,Rated M For Mature,7.7,45
Lovely Planet,1/8/2016,QUICKTEQUILA,tinyBuild,FPS,,6,6
Freedom Wings,8/21/2006,Beluga Computer,Natsume,Aircraft Combat Sim,Rated E +10 For Everyone +10,,
The Sims 4: Outdoor Retreat,1/13/2015,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,5.6,65
Afterparty,10/29/2019,Night School Studio,Night School Studio,Adventure,,6.8,66
Big Oil: Build an Oil Empire,7/31/2006,Tri Synergy,Tri Synergy,Tycoon,Rated E For Everyone,3.2,5
Quake Remastered,8/19/2021,id Software,Bethesda Softworks,FPS,,8.5,41
Rune: Halls of Valhalla,4/26/2001,Human Head Studios,Gathering,Action Adventure,Rated M For Mature,6.6,13
Dynasty Warriors 4: Xtreme Legends,11/4/2003,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,5.1,11
Arc the Lad: End of Darkness,6/14/2005,Cattle Call,Namco,Action RPG,Rated T For Teen,4.6,9
Paper Mario,2/5/2001,Intelligent Systems,Nintendo,JRPG,Rated E For Everyone,9,512
Project Gotham Racing,11/14/2001,Bizarre Creations,Microsoft Game Studios,Auto Racing Sim,Rated E For Everyone,8.4,28
BioShock Infinite,3/25/2013,Irrational Games,2K Games,FPS,Rated M For Mature,8.6,10242
DOOM Eternal: The Ancient Gods Part One,10/20/2020,id Software,Bethesda Softworks,FPS,Rated M For Mature,7.3,86
Journey of the Broken Circle,9/18/2020,Lovable Hat Cult,Nakana.io,Adventure,Rated E For Everyone,6.9,24
Warhammer: Battle for Atluma,11/14/2006,Sabertooth Games,Namco Bandai Games,Card Battle,Rated T For Teen,6.6,5
Crime Stories: From the Files of Martin Mystere,3/21/2006,Artematica,The Adventure Company,Third-Person Adventure,Rated T For Teen,,
Operation Darkness,6/24/2008,Success,Atlus,Turn-Based Strategy,Rated M For Mature,6.7,12
Killzone,11/2/2004,Guerrilla,SCEA,FPS,Rated M For Mature,7.6,249
The Lord of the Rings: Aragorn's Quest,9/14/2010,Headstrong Games,Warner Bros. Interactive Entertainment,Action Adventure,Rated T For Teen,7.9,15
SOLAS 128,1/25/2021,Amicable Animal,Armor Games,Puzzle,Rated E For Everyone,,
Persona 4: Dancing All Night,9/29/2015,Atlus,Atlus,Rhythm,Rated T For Teen,5.6,342
Insurmountable,4/29/2021,ByteRockers' Games,ByteRockers' Games,Survival,,6.4,14
Brothers in Arms: Earned in Blood,10/6/2005,Gearbox Software,Ubisoft,Tactical FPS,Rated M For Mature,7.6,9
Phantom Brigade,11/16/2020,Brace Yourself Games,Brace Yourself Games,Turn-Based Tactics,,5.6,7
Deadliest Warrior: The Game,7/14/2010,"Pipeworks Software, Inc.","Pipeworks Software, Inc.",3D Fighting,Rated M For Mature,5.5,24
Beach Head 2000,6/14/2000,Digital Fusion Inc.,WizardWorks,FPS,Rated T For Teen,2.9,9
Tom Clancy's Rainbow Six 3: Athena Sword,3/9/2004,Ubisoft Milan,Ubisoft,Tactical FPS,Rated M For Mature,4.3,7
Samurai Shodown,6/25/2019,SNK Corporation,"Athlon Games, Inc.",2D Fighting,Rated M For Mature,7.7,81
The Legend of Heroes: Trails of Cold Steel,12/22/2015,Falcom,XSEED Games,JRPG,Rated T For Teen,8.4,158
Le Vamp,3/14/2013,High Voltage Software,High Voltage Software,Action,,,
Time Machine VR,5/19/2016,Minority Media Inc.,Minority Media Inc.,First-Person Adventure,,7.8,10
Sunless Sea,2/6/2015,Failbetter Games,Failbetter Games,Action Adventure,,7.5,177
Broken Sword 5: The Serpent's Curse,12/4/2013,Revolution Software,Revolution Software,Point-and-Click,Rated T For Teen,7.9,178
The Deer God,2/27/2015,Cinopt Studios LLC,Crescent Moon Games,2D Platformer,,,
NHL 20,9/10/2019,Electronic Arts,Electronic Arts,Hockey Sim,Rated E +10 For Everyone +10,3.9,159
A Space For The Unbound,1/19/2023,Mojiken Studio,Chorus Worldwide,Adventure,Rated T For Teen,7.6,41
Disney's Kim Possible 2: Drakken's Demise,9/15/2004,Artificial Mind and Movement,Disney Interactive,2D Platformer,Rated E For Everyone,7,7
Melatonin,12/15/2022,Half Asleep,Half Asleep,Rhythm,,8,12
Greed Corp,2/24/2010,W!Games,W!Games,Turn-Based Strategy,Rated E For Everyone,6.4,8
Into the Breach,2/27/2018,Subset Games,Subset Games,Turn-Based Tactics,Rated E +10 For Everyone +10,7.8,493
Wetrix,,Zed Two Limited,Ocean,Puzzle,Rated E For Everyone,,
The Park,10/27/2015,Funcom,Funcom,Survival,,6.1,87
Namco Museum: Virtual Arcade,11/4/2008,Namco Bandai Games,Namco Bandai Games,Compilation,Rated E +10 For Everyone +10,6.2,6
Danger Girl,9/11/2000,n-Space,THQ,Third Person Shooter,Rated T For Teen,6.3,9
Obscure: The Aftermath,9/30/2009,Hydravision,Ignition Entertainment,Survival,Rated M For Mature,7.9,31
Gratuitous Space Battles,11/16/2009,Positech Games,Positech Games,Strategy,,6.8,59
Wargame: European Escalation,2/22/2012,Eugen Systems,Focus Home Interactive,Real-Time Tactics,,8.2,238
Super Little Acorns 3D Turbo,4/18/2013,Pixel Toys,Pixel Toys,Action,Rated E For Everyone,7.2,14
Silverfish,11/9/2010,Chaotic Box,Chaotic Box,Action,,,
Ball Breakers,7/26/2000,Lost Toys,Take-Two Interactive,Party,Rated E For Everyone,,
Madden NFL 2003,8/12/2002,EA Sports,EA Sports,Football Sim,Rated E For Everyone,7.1,46
Haunted Dungeons: Hyakki Castle,11/14/2017,Asakusa Studios,Happinet,RPG,,,
Ravaged,10/17/2012,2 Dawn Games,Reverb,FPS,Rated M For Mature,6,75
Knight's Rush,8/26/2010,Moregames Entertainment,Chillingo,2D Platformer,,,
WWE SmackDown vs. Raw 2007,11/14/2006,Yuke's,THQ,Wrestling,Rated T For Teen,8,42
World in Conflict,9/18/2007,Massive Entertainment,Sierra Entertainment,Real-Time Strategy,Rated T For Teen,8.3,276
New Little King's Story,10/2/2012,Konami,Konami,Real-Time Strategy,Rated E +10 For Everyone +10,7.6,44
Metal Slug Anthology,12/14/2006,Terminal Reality,SNK Playmore,Compilation,Rated T For Teen,8.9,14
Dishonored: Dunwall City Trials,12/11/2012,Arkane Studios,Bethesda Softworks,Action Adventure,Rated M For Mature,7.7,31
Disney's Magical Quest 3 Starring Mickey & Donald,6/14/2005,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,,
Evil West,11/22/2022,Flying Wild Hog,Focus Entertainment,Third Person Shooter,Rated M For Mature,7.4,186
Hitman 2,11/9/2018,Io Interactive,Warner Bros. Interactive Entertainment,Action Adventure,Rated M For Mature,8.4,981
Disney/Pixar Ratatouille,6/26/2007,Asobo Studio,THQ,3D Platformer,Rated E For Everyone,7.5,13
Cranium Kabookii,12/4/2007,Ubisoft Quebec,Ubisoft,Board,Rated E For Everyone,,
Sniper Elite,10/18/2005,Rebellion,Namco,Tactical Third Person Shooter,Rated M For Mature,6.1,14
Monster Hunter Freedom 2,8/28/2007,Capcom,Capcom,Action RPG,Rated T For Teen,7.1,44
Star Trek Away Team,3/19/2001,Reflexive Entertainment,Activision,Real-Time Strategy,Rated T For Teen,6.9,8
Colors! 3D,4/5/2012,Collecting Smiles,Collecting Smiles,Application,Rated E For Everyone,7.5,66
New Rally-X,12/27/2006,Bandai Namco Games,Namco Bandai Games,Arcade,Rated E For Everyone,,
Battlefield 1943,7/8/2009,EA DICE,Electronic Arts,Tactical FPS,Rated T For Teen,7.7,88
Starship Defense,1/18/2010,Q-Games,Nintendo,Defense,Rated E For Everyone,6.4,7
Eagle Flight,11/8/2016,FunHouse,Ubisoft,Aircraft Combat Sim,Rated E +10 For Everyone +10,6.8,51
Heretic Kingdoms: The Inquisition,4/14/2005,3D People,Got Game Entertainment,Western RPG,Rated M For Mature,7.2,18
The Dishwasher: Vampire Smile,4/6/2011,Ska Studios,Microsoft Game Studios,2D Beat-'Em-Up,Rated M For Mature,8.2,32
Grimm (2011),1/4/2011,ROBOX Studios,ROBOX Studios,Adventure,,,
Prodeus,9/23/2022,Mike and Jason,Humble Games,FPS,,7.5,52
Humanity,5/16/2023,Tha Ltd.,Enhance Games,Action Puzzle,Rated E +10 For Everyone +10,7.6,114
Way of the Samurai 3,10/20/2009,Acquire,UFO Interactive,Open-World Action,Rated M For Mature,7,17
The Chronicles of Riddick: Assault on Dark Athena,4/7/2009,Starbreeze,Atari SA,FPS,Rated M For Mature,8,76
Redout 2,6/16/2022,34BigThings,Saber Interactive,Future Racing,Rated E +10 For Everyone +10,6.7,11
IRONFALL Invasion,2/26/2015,VD-DEV,VD-DEV,Third Person Shooter,Rated T For Teen,5.8,67
The Legend of Heroes: Trails in the Sky the 3rd,5/3/2017,Falcom,XSEED Games,JRPG,,8.2,83
Hidden Agenda,10/24/2017,Supermassive Games,Sony Interactive Entertainment,Third-Person Adventure,Rated M For Mature,6.6,151
The Surge,5/16/2017,Deck 13,Focus Home Interactive,Action RPG,Rated M For Mature,6.6,368
Command & Conquer Remastered Collection,6/5/2020,Petroglyph,Electronic Arts,Compilation,Rated T For Teen,8.7,293
NASCAR 2011: The Game,3/29/2011,Eutechnyx,Activision,Auto Racing Sim,Rated E For Everyone,4.1,14
Klonoa: Empire of Dreams,9/11/2001,Now Production,Namco,2D Platformer,Rated E For Everyone,,
Mojo!,8/26/2003,Farsight Studios,Crave,Puzzle,Rated E For Everyone,,
Pokemon Conquest,6/18/2012,Koei Tecmo Games,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.1,143
Immortals Fenyx Rising,12/3/2020,Ubisoft Quebec,Ubisoft,Open-World Action,Rated T For Teen,7.8,357
Sonic Generations,11/1/2011,Sonic Team,Sega,3D Platformer,Rated E For Everyone,8.4,659
Stuart Little 2,7/12/2002,Creations,Activision,3D Platformer,Rated E For Everyone,7.8,6
EA Sports FC 24,9/29/2023,EA Canada,Electronic Arts,Soccer Sim,Rated E For Everyone,2.3,824
Zombie Army Trilogy,3/3/2015,Rebellion,Rebellion,Third Person Shooter,Rated M For Mature,7.3,131
Majestic,7/31/2001,Anim-X,Electronic Arts,Adventure,Rated M For Mature,,
Gravity Games Bike: Street. Vert. Dirt.,6/27/2002,Midway,Midway,Biking,Rated T For Teen,1.4,7
Angry Birds,1/4/2011,Abstraction Games,Chillingo,Action Puzzle,Rated E For Everyone,4.2,67
Modern Combat 3: Fallen Nation,10/27/2011,Gameloft,Gameloft,FPS,,7.7,35
Patrick's Parabox,3/29/2022,Patrick Traynor,Patrick Traynor,Action Puzzle,,8.6,12
1942: Joint Strike,7/23/2008,Backbone Entertainment,Capcom,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,5.9,15
Ice Age 2: The Meltdown,3/14/2006,Eurocom,Vivendi Games,3D Platformer,Rated E +10 For Everyone +10,7.9,22
Pillars of Eternity: The White March - Part 1,8/25/2015,Obsidian Entertainment,Paradox Interactive,Western RPG,Rated M For Mature,7.6,153
Army Men: Sarge's Heroes,10/30/2000,Saffire,Midway,Third Person Shooter,Rated T For Teen,7.9,7
Scarf,12/23/2021,Uprising Studios,HandyGames,3D Platformer,,7.8,19
Gallop Racer 2004,8/31/2004,Tecmo,Tecmo,Horse Racing,Rated E For Everyone,,
Bush Hockey League,3/28/2017,V7 Entertainment Inc.,V7 Entertainment Inc.,Hockey,Rated M For Mature,5,15
Bone: The Great Cow Race,4/12/2006,Telltale Games,Telltale Games,Third-Person Adventure,,6.5,10
Mario Kart DS,11/14/2005,Nintendo,Nintendo,Auto Racing,Rated E For Everyone,8.7,776
Chaos Reborn,12/9/2014,Snapshot Games Inc.,Snapshot Games Inc.,Turn-Based Strategy,,8,70
Among Us,11/16/2018,Innersloth,Innersloth,Survival,Rated E +10 For Everyone +10,6.8,433
Driving Emotion Type-S,1/29/2001,Escape,Square EA,Auto Racing Sim,Rated E For Everyone,3.6,5
GRID (2008),6/3/2008,Codemasters,Codemasters,Auto Racing Sim,Rated E For Everyone,7.9,90
Rampage: Puzzle Attack,11/29/2001,Ninai Games,Midway,Puzzle,Rated E For Everyone,7.6,5
Orphen: Scion of Sorcery,10/23/2000,Shade,Activision,JRPG,Rated T For Teen,6,14
Auto Age: Standoff,9/21/2017,Phantom Compass,Phantom Compass,Vehicle Combat Sim,,,
Romance of the Three Kingdoms XIV,12/24/2020,Koei Tecmo Games,Koei Tecmo Games,4X Strategy,Rated E +10 For Everyone +10,8.4,42
Boy Loves Girl,12/21/2011,Grubby Hands,Grubby Hands,Adventure,,,
Grand Slam Tennis (2012),6/8/2009,EA Canada,Electronic Arts,Tennis,Rated E For Everyone,6.8,19
Metal Gear Solid: Master Collection Vol. 1,10/24/2023,Konami,Konami,Compilation,Rated M For Mature,4.9,107
Ray Gigant,5/3/2016,Bandai Namco Games,acttil llc.,RPG,Rated T For Teen,8.1,29
Lucidity,10/7/2009,LucasArts,LucasArts,Action Puzzle,Rated E For Everyone,,
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,9/30/2002,Monolith Productions,Sierra Entertainment,Action Adventure,Rated M For Mature,8.8,228
Mission: Impossible (1998),8/14/1998,Infogrames,Ocean,Action Adventure,Rated T For Teen,6.6,46
Guitar Hero,11/7/2005,Harmonix Music Systems,RedOctane,Rhythm,Rated T For Teen,8.1,110
Puzzle & Action: Ichidant-R,10/17/2019,M2,Sega,Party,Rated E For Everyone,,
NBA 2K10,10/6/2009,Visual Concepts,2K Sports,Basketball Sim,Rated E For Everyone,7.2,14
de Blob,9/22/2008,Blue Tongue Entertainment,THQ,3D Platformer,Rated E For Everyone,7.4,56
Sniper Ghost Warrior Contracts,11/22/2019,CI Games,CI Games,Tactical FPS,Rated M For Mature,6.7,149
Fossil Fighters: Champions,11/14/2011,RED Entertainment,Nintendo,Trainer RPG,Rated E For Everyone,7.9,18
Might & Magic: Heroes VI,10/13/2011,Black Hole Games,Ubisoft,Turn-Based Strategy,Rated T For Teen,5.9,691
Fashion Dreamer,11/3/2023,syn Sophia,Marvelous Inc.,Virtual Life,Rated E For Everyone,6,26
Table Top Tanks,5/22/2012,Devils Details,SCEA,Miscellaneous,Rated E For Everyone,5.3,13
Fist Puncher,6/21/2013,Team2Bit,Team2Bit,2D Beat-'Em-Up,,7.8,25
The Blind Prophet,2/5/2020,ARS GOETIA,ARS GOETIA,Point-and-Click,,7.4,14
Supreme Commander 2,3/1/2010,Gas Powered Games,Square Enix,Command RTS,Rated E +10 For Everyone +10,6.4,195
Disney Golf,10/16/2002,T&E Soft,EA Games,Golf,Rated E For Everyone,,
Grand Theft Auto: Chinatown Wars,3/17/2009,Rockstar Leeds,Rockstar Games,Open-World Action,Rated M For Mature,7.8,266
Marc Ecko's Getting Up: Contents Under Pressure,2/14/2006,The Collective,Atari SA,Action Adventure,Rated M For Mature,8,7
Dragon Ball: Origins 2,6/22/2010,Game Republic,Namco Bandai Games,Action Adventure,Rated T For Teen,6.9,12
Sublevel Zero,10/8/2015,Sigtrap Games,Mastertronic,Space Combat Sim,,7.1,9
Opoona,3/25/2008,ArtePiazza,Koei,JRPG,Rated E +10 For Everyone +10,8,8
Resident Evil: Revelations Collection,11/28/2017,Capcom,Capcom,Compilation,Rated M For Mature,8.4,72
Birth of America,7/26/2006,AGEOD,Strategy First,Turn-Based Strategy,Rated E For Everyone,,
The Last of Us Remastered,7/29/2014,Naughty Dog,SCEA,Linear Action Adventure,Rated M For Mature,9.2,20141
Reckless Racing 2,2/2/2012,Polarbit,Polarbit,Auto Racing Sim,,6.7,19
The Lord of the Rings Online: Mines of Moria,11/17/2008,Turbine Inc.,Turbine Inc.,MMORPG,Rated T For Teen,7.3,67
Imperial Glory,5/17/2005,Pyro Studios,Eidos Interactive,Real-Time Strategy,Rated T For Teen,8.1,56
TurnOn,6/1/2016,Brainy Studio LLC,Brainy Studio LLC,2D Platformer,Rated E For Everyone,7,10
Legends of Might and Magic,6/18/2001,3DO,3DO,Action,Rated T For Teen,5.5,
Garfield and His Nine Lives,5/10/2006,Lucky Jump,The Game Factory,2D Platformer,Rated E For Everyone,7,5
Metal Gear Solid: Peace Walker,6/8/2010,Kojima Productions,Konami,Action Adventure,Rated T For Teen,8.5,631
ActRaiser Renaissance,9/23/2021,Sonic Powered,Square Enix,Action Adventure,Rated E +10 For Everyone +10,7.8,26
Tom Clancy's Ghost Recon 2,11/16/2004,Red Storm Entertainment,Ubisoft,Tactical Third Person Shooter,Rated T For Teen,4.8,10
HSX HyperSonic.Xtreme,1/26/2003,Blade Interactive,Majesco,Future Racing,Rated E For Everyone,,
Skylanders Battlegrounds,11/21/2012,Activision,Activision,Action,,,
Metal Gear Solid 2: Sons of Liberty,11/12/2001,KCEJ,Konami,Action Adventure,Rated M For Mature,8.9,1750
MLB 2005,3/16/2004,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,,
Trauma Center: New Blood,11/20/2007,Atlus,Atlus,Virtual Career,Rated T For Teen,7,16
Metal Gear Solid 4: Guns of the Patriots,6/12/2008,Kojima Productions,Konami,Action Adventure,Rated M For Mature,8.7,2552
The Showdown Effect,3/5/2013,Arrowhead Game Studios,Paradox Interactive,Action,,6.9,84
Uncommon Valor: Campaign for the South Pacific,12/2/2002,2By3 Games,Matrix Games,Turn-Based Strategy,Rated E For Everyone,6.8,
Amnesia: The Bunker,6/6/2023,Frictional Games,Frictional Games,Survival,,7.7,130
LawBreakers,8/4/2017,Boss Key Productions,Limited Run Games,Tactical FPS,Rated M For Mature,6.4,163
Pokemon Shining Pearl,11/19/2021,"ILCA, Inc.",Nintendo,Trainer RPG,Rated E For Everyone,5.5,469
Bookworm Adventures: Volume 2,7/30/2009,PopCap,PopCap,Logic Puzzle,Rated E +10 For Everyone +10,6.8,12
Foul Play,9/18/2013,Mediatonic,Mastertronic,2D Beat-'Em-Up,Rated E +10 For Everyone +10,6,17
Sonic Shuffle,11/13/2000,Sega,Sega,Party,Rated E For Everyone,7,38
Taito Legends 2,5/16/2007,Empire Oxford,Destineer,Compilation,Rated T For Teen,8.1,7
Freelancer,3/3/2003,Digital Anvil,Microsoft Game Studios,Space Combat Sim,Rated T For Teen,8.9,230
NCAA College Basketball 2K3,12/2/2002,Kush Games,Sega,Basketball Sim,Rated E For Everyone,,
Lips,11/18/2008,iNiS,Microsoft Game Studios,Rhythm,Rated T For Teen,6.9,9
Tokyo Mirage Sessions #FE Encore,1/17/2020,Atlus,Nintendo,JRPG,Rated T For Teen,6.3,263
Saints Row IV: Enter the Dominatrix,10/22/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,5.8,14
Outlast: Whistleblower,5/6/2014,,,Survival,Rated M For Mature,8.2,317
Tennis On-Court,10/17/2023,Fishing Cactus,Perpetual,Tennis,Rated E For Everyone,,
Astronaut: The Best,8/15/2023,Universal Happymaker,Universal Happymaker,Tycoon,,,
Dead Rising 3: Operation Broken Eagle,1/21/2014,,,Open-World Action,Rated M For Mature,4.3,83
Dynasty Warriors 8: Xtreme Legends - Complete Edition,3/25/2014,Omega Force,Tecmo Koei Games,3D Beat-'Em-Up,Rated T For Teen,7.9,199
Anna,7/11/2012,Dreampainters,Kalypso,First-Person Adventure,,4.9,67
Obduction,8/24/2016,Cyan Worlds,Cyan Worlds,First-Person Adventure,Rated E +10 For Everyone +10,7.6,161
Yakuza,9/5/2006,Amusement Vision,Sega,Open-World Action,Rated M For Mature,8.3,133
Olija,1/28/2021,Skeleton Crew Studio,Devolver Digital,2D Platformer,,6.6,18
Bad North,8/20/2018,Plausible Concept,Raw Fury,Real-Time Strategy,Rated T For Teen,6.9,54
Coral Island,11/14/2023,Stairway Games,Humble Games,Virtual Life,,5.9,19
Tangledeep,1/31/2019,Impact Gameworks,Impact Gameworks,Roguelike,Rated E +10 For Everyone +10,7.7,22
Super Ghouls 'n Ghosts,9/23/2002,Affect,Capcom,2D Platformer,Rated E For Everyone,8.1,20
Harmonix Music VR,10/10/2016,Harmonix Music Systems,Harmonix Music Systems,Dancing,Rated E For Everyone,7,21
Disney Hannah Montana: Music Jam,10/16/2007,Gorilla Games,Disney Interactive Studios,Rhythm,Rated E For Everyone,,
Disney's Treasure Planet: Battle at Procyon,10/31/2002,Barking Dog,Disney Interactive,Real-Time Strategy,Rated E For Everyone,8.1,19
Ben 10: Omniverse,11/18/2012,Vicious Cycle,D3Publisher,Action Adventure,,6.8,26
EyePet & Friends,11/15/2011,SCEE London Studio,SCEA,Virtual Life,Rated E For Everyone,5.3,8
Jam Sessions,9/11/2007,Plato,Ubisoft,Rhythm,Rated E +10 For Everyone +10,,
Goodbye Volcano High,8/29/2023,KO-OP,KO-OP,Adventure,Rated E For Everyone,6.8,41
Nickelodeon Kart Racers 2: Grand Prix,10/6/2020,Bamtang,GameMill Entertainment,Auto Racing,Rated E For Everyone,8.3,7
Degrees of Separation,2/14/2019,Moondrop Studios,Modus Games,2D Platformer,Rated E For Everyone,6.3,16
Icarus,12/3/2021,RocketWerkz,RocketWerkz,Survival,,5,35
WWE 2K23,3/14/2023,Visual Concepts,2K Games,Wrestling,Rated T For Teen,7.2,147
