Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Smelter,4/22/2021,X Plus,DANGEN Entertainment,2D Platformer,Rated T For Teen,6.8,
Ninjatown: Trees Of Doom!,5/5/2010,"Venan Entertainment, Inc.","Venan Entertainment, Inc.",Action,,,
The Mage's Tale,6/20/2017,InXile Entertainment,InXile Entertainment,Adventure,Rated T For Teen,7.5,12
The Witcher 3: Wild Hunt - Blood and Wine,5/30/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,9.1,4208
Port Royale 4,9/25/2020,Gaming Minds Studios,Kalypso,Management,Rated E +10 For Everyone +10,5.2,17
Just Dance 2024 Edition,10/24/2023,Ubisoft,Ubisoft,Dancing,Rated E For Everyone,5.1,15
Dying Light,1/27/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Rated M For Mature,8.1,2143
Tempo (2015),2/11/2015,Splash Damage,WARCHEST LIMITED,Action,,,
Conflict: Desert Storm,4/22/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Rated T For Teen,7.8,6
Cut the Rope: Time Travel,4/18/2013,ZeptoLab,ZeptoLab,Logic Puzzle,,7,12
Exerbeat,5/17/2011,Namco Bandai Games,Namco Bandai Games,Sports,Rated E For Everyone,7,7
Far Cry 3: Blood Dragon,5/1/2013,Ubisoft Montreal,Ubisoft,FPS,Rated M For Mature,8.4,413
Yu-Gi-Oh! World Championship 2007,3/20/2007,Konami,Konami,Card Battle,Rated E For Everyone,7,20
MotoGP 2,5/21/2003,Climax Studios,THQ,Auto Racing Sim,Rated E For Everyone,4.8,
Bug Heroes 2,2/19/2014,,,Action,,6.1,8
Swing Away Golf,10/25/2000,T&E Soft,Electronic Arts,Golf,Rated E For Everyone,,
Counter-Strike: Source,10/7/2004,Valve Software,Valve Software,Tactical FPS,Rated M For Mature,8.2,1352
Super Crush K.O.,1/16/2020,Vertex Pop,Vertex Pop,2D Platformer,Rated E +10 For Everyone +10,7.8,13
Allegiance,3/31/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Rated E For Everyone,7.3,18
Harry Potter and the Prisoner of Azkaban,6/2/2004,EA Games,EA Games,Action Adventure,Rated E For Everyone,8,62
World of Final Fantasy,10/25/2016,Square Enix,Square Enix,JRPG,Rated E +10 For Everyone +10,7.6,411
Star Wars: Bounty Hunter,11/19/2002,LucasArts,LucasArts,Third Person Shooter,Rated T For Teen,7.8,43
Half-Life,11/19/1998,Valve Software,Sierra Entertainment,FPS,Rated M For Mature,9.1,4847
Vader Immortal: Episode I,5/21/2019,ILMxLab,Disney Interactive Studios,First-Person Adventure,,7,14
Pool Panic,7/19/2018,Rekim,Adult Swim,Action Adventure,Rated E +10 For Everyone +10,7,14
The Scourge Project: Episodes 1 and 2,4/9/2010,Tragnarion Studios,BITBOX S.L.,FPS,,3.5,17
Bejeweled Twist,10/27/2008,PopCap,PopCap,Matching Puzzle,Rated E For Everyone,7.7,14
Jak II,10/14/2003,Naughty Dog,SCEA,3D Platformer,Rated T For Teen,8.4,454
Senran Kagura Reflexions,9/13/2018,Honey Parade Games,XSEED Games,Adventure,Rated M For Mature,7.7,49
World War II Online: Blitzkrieg,6/4/2001,Cornered Rat,Strategy First,FPS,Rated T For Teen,,
Arena of Valor,9/25/2018,TiMi Studios,Tencent,MOBA,,6.7,60
MLB 2006,3/8/2005,989 Sports,SCEA,Baseball Sim,Rated E For Everyone,,
Majesty 2: Kingmaker,3/26/2010,1C Entertainment,Paradox Interactive,Strategy,Rated T For Teen,7.3,10
Bird Mania 3D,5/3/2012,Teyon,Teyon,Arcade,Rated E For Everyone,6.2,19
Heavy Fire: Red Shadow,10/16/2018,Mastiff,Mastiff,FPS,Rated T For Teen,4.3,10
TRON RUN/r,2/16/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,22
Traitors Gate,4/30/2000,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,5
Resident Evil: Revelations,2/7/2012,Capcom,Capcom,Survival,Rated M For Mature,8.4,577
MechWarrior 4: Black Knight Expansion,10/31/2001,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,6.8,8
Wallace & Gromit in Project Zoo,10/7/2003,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,39
Crusty Demons,6/27/2006,Climax Studios,Evolved Games,Arcade Racing,Rated M For Mature,,
N.O.V.A. 2 - Near Orbit Vanguard Alliance,12/16/2010,Gameloft,Gameloft,FPS,,6.8,18
Dark Arcana: The Carnival,3/17/2017,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,,
Regalia: Of Men and Monarchs,5/18/2017,Pixelated Milk,Klabater,Turn-Based Tactics,,7.7,39
Train Fever,9/4/2014,Urban Games,Gambitious,Train Sim,,6.9,93
Star Trek: Elite Force II,6/25/2003,Ritual Entertainment,Activision,FPS,Rated T For Teen,8,40
Street Supremacy,2/28/2006,Genki,Konami,Auto Racing Sim,Rated E For Everyone,,
Tales of Symphonia Remastered,2/17/2023,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,3.8,23
War for the Overworld,4/2/2015,Subterranean Games,Subterranean Games,Real-Time Strategy,,7.9,132
Super Smash Bros. Ultimate,12/7/2018,Nintendo,Nintendo,2D Fighting,Rated E +10 For Everyone +10,8.6,4133
Lotus Challenge,4/30/2003,Kuju Entertainment,Xicat Interactive,Auto Racing Sim,Rated E For Everyone,,
The Sims 2: Nightlife,9/13/2005,Maxis,EA Games,Virtual Life,Rated T For Teen,4.2,35
Insurgency: Sandstorm,12/12/2018,New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,8,250
Yo-kai Watch,11/6/2015,Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,8.1,220
The Great Circus Mystery Starring Mickey & Minnie,11/12/2003,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,,
MechCommander 2,7/18/2001,Microsoft Game Studios,Microsoft Game Studios,Strategy,Rated T For Teen,7.8,33
Pirates vs Ninjas Dodgeball,9/3/2008,Blazing Lizard,SouthPeak Games,Individual Sports,Rated E +10 For Everyone +10,8,
After Us,5/23/2023,Piccolo,Private Division,Action Adventure,Rated T For Teen,6,31
Gigantic Army,2/5/2014,Astro Port,Nyu Media,Action,,6.7,10
