title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Split/Second,2010-05-18,Black Rock Studio,Disney Interactive Studios,Auto Racing,Rated E +10 For Everyone +10,8,89,9066
Crysis 2,2011-03-22,Crytek,EA Games,FPS,Rated M For Mature,7.7,677,9067
Mario Tennis Open,2012-05-20,Camelot Software Planning,Nintendo,Tennis,Rated E For Everyone,6.9,141,9068
Mighty Milky Way,2011-05-09,WayForward,WayForward,Action Puzzle,Rated E For Everyone,8.1,12,9069
Metroid Prime Trilogy,2009-08-24,Retro Studios,Nintendo,Compilation,Rated T For Teen,9.1,498,9070
Schrodinger's Cat and the Raiders of the Lost Quark,2015-05-12,Italic Pig,Team17,2D Platformer,Rated E For Everyone,,,9071
Grim Dawn,2016-02-25,Crate Entertainment,Crate Entertainment,Action RPG,,8.4,841,9072
Terminator: Resistance - Annihilation Line,2021-12-10,Teyon,Reef Entertainment,FPS,Rated M For Mature,7.6,10,9073
ELEX II,2022-03-01,Piranha Bytes,THQ Nordic,Western RPG,Rated M For Mature,7.1,127,9074
Evan's Remains,2020-06-11,Matias Schmied,Whitethorn Digital,2D Platformer,,6.7,9,9075
Penny Arcade Adventures: Episode Two,2008-10-29,Hothead Games,Hothead Games,Adventure,Rated M For Mature,7.4,5,9076
Valkyria Chronicles II,2010-08-30,Sega,Sega,Turn-Based Tactics,Rated T For Teen,8.4,89,9077
Worldwide Soccer Manager 2007,,Sports Interactive,Sports Interactive,Soccer Management,Rated E For Everyone,,,9078
Wild West Guns,2008-08-04,Gameloft,Gameloft,Light Gun,Rated T For Teen,,,9079
Condemned: Criminal Origins,2005-11-16,Monolith Productions,Sega,Survival,Rated M For Mature,8.1,156,9080
Dr. Mario World,2019-07-10,LINE Corporation,Nintendo,Action Puzzle,,3.4,49,9081
10000000,2012-07-25,EightyEight Games LTD,EightyEight Games LTD,RPG,,7.3,29,9082
Rising Storm 2: Vietnam,2017-05-30,Antimatter Games,Tripwire Interactive,Tactical FPS,,7.4,165,9083
AIPD - Artificial Intelligence Police Department,2016-01-29,Blazing Badger,Blazing Badger,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,,,9084
Resident Evil: Deadly Silence,2006-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.2,48,9085
Dead Space Ignition,2010-10-13,Sumo Digital,Electronic Arts,Action Puzzle,Rated M For Mature,4.3,41,9086
Tormentum - Dark Sorrow,2015-03-04,OhNoo,OhNoo,Point-and-Click,,8,81,9087
Yourself!Fitness,2004-09-27,Respondesign,Respondesign,Exercise,Rated E For Everyone,,,9088
Rally Championship,2003-07-30,SCi,Conspiracy Entertainment,Auto Racing Sim,Rated E For Everyone,,,9089
Jet Car Stunts,2014-10-07,True Axis,Grip Games,Auto Racing,Rated E For Everyone,6.4,9,9090
100ft Robot Golf,2017-09-27,No Goblin,No Goblin,Golf,Rated E +10 For Everyone +10,6.2,20,9091
Argonus and the Gods of Stone,2019-10-08,Zojoi Studios,Zojoi Studios,Action Adventure,,,,9092
Batman: The Telltale Series - Episode 3: New World Order,2016-10-25,Telltale Games,Telltale Games,Point-and-Click,,7.2,56,9093
Akane,2019-05-17,Ludic Studios,QubicGames,2D Beat-'Em-Up,Rated M For Mature,7,24,9094
Bombcats,2013-05-16,Radiangames,Chillingo,Action,,,,9095
Klonoa 2: Dream Champ Tournament,2005-02-23,Now Production,Namco,2D Platformer,Rated E For Everyone,8.5,17,9096
Dark Souls II: Scholar of the First Sin,2015-04-07,From Software,Bandai Namco Games,Action RPG,Rated T For Teen,7.8,1631,9097
Everybody's Golf VR,2019-05-21,Clap Hanz,Sony Interactive Entertainment,Golf,Rated E For Everyone,8,69,9098
Justice League: Chronicles,2003-11-12,Full Fat,Midway,2D Beat-'Em-Up,Rated E For Everyone,,,9099
Coliseum,,Stormcloud Creations,Shrapnel Games,Strategy,,,,9100
Bloodborne: The Old Hunters,2015-11-24,From Software,SCEA,Action RPG,Rated M For Mature,8.9,2364,9101
Galactic Civilizations II: Dread Lords,2006-02-21,Stardock,Stardock,4X Strategy,Rated E +10 For Everyone +10,7.4,46,9102
Undead Knights,2009-09-29,Now Production,Tecmo,3D Beat-'Em-Up,Rated M For Mature,8.2,13,9103
Ship Simulator 2008,2008-01-21,VSTEP,Lighthouse Interactive,Marine Sim,Rated E For Everyone,4.3,6,9104
Atomic Heart,2023-02-21,Mundfish,Focus Entertainment,FPS,Rated M For Mature,7,1055,9105
Ben 10 Alien Force: Vilgax Attacks,2009-10-27,Papaya Studio,D3Publisher,Action,Rated E +10 For Everyone +10,8.4,20,9106
Steins;Gate,2015-08-25,5pb,PQube,Visual Novel,Rated M For Mature,9,166,9107
It's Quiz Time,2017-11-28,Vision Games Publishing LTD,Vision Games Publishing LTD,Trivia,Rated E For Everyone,7.4,8,9108
Defector,2019-07-11,Twisted Pixel Games,Oculus Studios,Linear Action Adventure,,4.2,9,9109
X-Morph: Defense,2019-02-21,EXOR Studios,EXOR Studios,Defense,Rated T For Teen,8.5,36,9110
Everybody's Golf,2017-08-29,Clap Hanz,Sony Interactive Entertainment,Golf,Rated E For Everyone,7.5,170,9111
Atelier Iris 3: Grand Phantasm,2007-05-29,Gust,NIS America,JRPG,Rated T For Teen,6.7,16,9112
Need for Speed: Nitro,2009-11-02,EA Montreal,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,7.2,33,9113
Sucker for Love: First Date,2022-01-20,Akabaka,DreadXP,Visual Novel,,8.5,16,9114
Arma II,2009-07-07,Bohemia Interactive,505 Games,Tactical FPS,Rated M For Mature,7.3,368,9115
Soldier of Fortune II: Double Helix,2003-06-18,Gratuitous Games,Activision,FPS,Rated M For Mature,5.3,,9116
Juiced 2: Hot Import Nights,2007-09-17,Juice Games,THQ,Auto Racing Sim,Rated T For Teen,7.5,21,9117
Super Street Fighter II Turbo: Revival,2001-10-30,Capcom,Capcom,2D Fighting,Rated E For Everyone,7.2,23,9118
Atelier Ryza 3: Alchemist of the End & the Secret Key,2023-03-24,Gust,Koei Tecmo Games,JRPG,Rated T For Teen,7.6,290,9119
Banner of the Maid,2020-08-12,Azure Flame Studio,CE-Asia,Turn-Based Tactics,Rated T For Teen,8.2,14,9120
Where's My Water? 2,2013-09-12,Kongregate,Kongregate,Logic Puzzle,,4.3,13,9121
Pokemon Ruby Version,2003-03-19,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,8.4,382,9122
Pokemon Super Mystery Dungeon,2015-11-20,Spike Chunsoft,Nintendo,Roguelike,Rated E For Everyone,8.2,346,9123
Milky Way Prince: The Vampire Star,2020-08-13,Eyeguys,Santa Ragione,Visual Novel,,8.2,5,9124
Animal Crossing: amiibo Festival,2015-11-13,Nd Cube,Nintendo,Board,Rated E For Everyone,3.9,256,9125
True Crime: Streets of LA,2003-11-03,"Luxoflux, Inc.",Activision,Open-World Action,Rated M For Mature,8.5,12,9126
Taur,2020-02-19,Echo Entertainment,Echo Entertainment,Defense,,7.6,7,9127
TNA iMPACT!,2008-09-09,Midway Studios - Los Angeles,Midway,Wrestling,Rated T For Teen,6,15,9128
Master of the Monster Lair,2008-10-31,Global A,Atlus,RPG,Rated E +10 For Everyone +10,,,9129
Redout: Space Assault,2021-01-22,34BigThings,34BigThings,Space Combat Sim,,3.6,8,9130
Steel Beasts,2000-09-24,eSim Games,Shrapnel Games,Vehicle Combat Sim,Rated T For Teen,6.1,10,9131
Disney's Aladdin (1993),2004-09-28,Disney Interactive Studios,Capcom,2D Platformer,Rated E For Everyone,7.9,7,9132
Super Mutant Alien Assault,2016-07-12,Cybernate,Fellow Traveller,2D Platformer,Rated T For Teen,3.8,5,9133
Tetris (2010),2009-10-01,EA Mobile,EA Mobile,Stacking Puzzle,Rated E For Everyone,7.2,27,9134
Sheep,2000-11-29,Minds-Eye Productions,Empire Interactive,Action Puzzle,Rated E For Everyone,7.5,12,9135
Mega Man Zero,2002-09-09,Inti Creates,Capcom,2D Platformer,Rated E For Everyone,8.1,90,9136
Golem,2019-11-15,Highwire Games,Highwire Games,Action Adventure,Rated T For Teen,6.8,29,9137
Aeon Flux,2005-11-17,Terminal Reality,Majesco,Action Adventure,Rated T For Teen,,,9138
Labyrinth City: Pierre the Maze Detective,2021-07-15,Darjeeling,Pixmain,Adventure,Rated E For Everyone,,,9139
South Park: Phone Destroyer,2017-11-09,RedLynx,Ubisoft,Card Battle,,6.2,38,9140
AO International Tennis,2018-05-08,Big Ant Studios,Big Ant Studios,Tennis,Rated E For Everyone,6,65,9141
Madden NFL 20,2019-07-30,Electronic Arts,Electronic Arts,Football Sim,Rated E For Everyone,1.5,639,9142
Jupiter & Mars,2019-04-22,Tigertron,Tigertron,Action Adventure,Rated E For Everyone,5,18,9143
Arcania: Gothic 4,2010-10-15,Spellbound,JoWooD Entertainment AG,Action RPG,Rated T For Teen,4,488,9144
Hogs of War,2000-09-29,Infogrames Sheffield,Infogrames,Artillery,Rated T For Teen,8.5,64,9145
FIFA Soccer (2012),2012-02-15,Electronic Arts,EA Sports,Soccer Sim,Rated E For Everyone,7.2,83,9146
Apex Legends,2019-02-04,Respawn Entertainment,Electronic Arts,Tactical FPS,Rated T For Teen,6.9,1740,9147
The Sims Medieval,2011-03-22,The Sims Studio,Electronic Arts,Virtual Life,Rated T For Teen,6,204,9148
Blue Defense: Second Wave!,2010-09-30,Cat in a Box Games,Cat in a Box Games,Action,,,,9149
The Crew: Wild Run,2015-11-17,Ivory Tower,Ubisoft,Auto Racing Sim,Rated T For Teen,6.6,60,9150
Ray'z Arcade Chronology,2023-06-30,M2,ININ Games,Compilation,Rated E +10 For Everyone +10,,,9151
WWE SmackDown vs. Raw 2008,2007-11-13,Yuke's,THQ,Wrestling,Rated T For Teen,7.2,44,9152
Re:Turn - One Way Trip,2020-10-14,Red Ego Games,Green Man Gaming Publishing,Adventure,,7.5,15,9153
Everyday Shooter,2007-10-11,Backbone Entertainment,SCEA,Top-Down Shoot-'Em-Up,Rated E For Everyone,5.9,7,9154
Bullet Witch,2007-02-27,Cavia Inc.,Atari SA,Third Person Shooter,Rated M For Mature,6,37,9155
Spy Hunter (2012),2012-10-09,TT Fusion,Warner Bros. Interactive Entertainment,Auto Racing,Rated E +10 For Everyone +10,6.5,20,9156
Frobisher Says!,2012-10-23,Honeyslug Ltd,SCEA,Miscellaneous,Rated E +10 For Everyone +10,7.3,70,9157
The Elder Scrolls III: Tribunal,2002-11-06,Bethesda Softworks,Bethesda Softworks,Western RPG,Rated T For Teen,7.8,97,9158
Gun,2005-11-08,Neversoft Entertainment,Activision,Open-World Action,Rated M For Mature,8.1,15,9159
Sonic the Hedgehog 4: Episode II,2012-05-16,Sega,Sega,2D Platformer,Rated E For Everyone,6.7,132,9160
NASCAR (2006),2006-09-06,EA Tiburon,EA Sports,Auto Racing Sim,Rated E For Everyone,,,9161
Shifting World,2012-04-24,Fishing Cactus,Aksys Games,Puzzle,Rated E For Everyone,5.9,8,9162
Reservoir Dogs,2006-10-24,Volatile Games,Eidos Interactive,Action Adventure,Rated M For Mature,7.5,,9163
Lords of Xulima,2014-08-08,Numantian Games,Numantian Games,Western RPG,,7.8,129,9164
Random Runners,2013-10-10,Ravenous Games,Ravenous Games,Adventure,,,,9165
When The Past Was Around,2020-12-15,Mojiken Studio,Chorus Worldwide,Point-and-Click,Rated E For Everyone,6.6,9,9166
Battle Assault 3 featuring Gundam Seed,2004-12-07,Natsume,Bandai,3D Fighting,Rated T For Teen,4.3,,9167
Bit.Trip Complete / THE BIT.TRIP,2011-09-13,Gaijin Games,Aksys Games,Compilation,Rated E For Everyone,8,27,9168
Star Trek: Voyager Elite Force Expansion Pack,2001-05-09,Raven Software,Activision,FPS,Rated T For Teen,6.4,7,9169
Redemption Reapers,2023-02-22,Adglobe,Binary Haze Interactive,Turn-Based Tactics,Rated T For Teen,,,9170
Mario Power Tennis,2004-11-08,Camelot Software Planning,Nintendo,Tennis,Rated E For Everyone,8.4,68,9171
Wii Fit,2008-05-19,Nintendo,Nintendo,Exercise,Rated E For Everyone,7.6,62,9172
Evil Genius 2: World Domination,2021-03-30,Rebellion,Rebellion,Real-Time Strategy,Rated T For Teen,5.1,63,9173
Dead or School,2020-03-13,Studio Nanafushi,Marvelous AQL,Action RPG,Rated M For Mature,7.1,14,9174
8-Bit Armies,2016-04-22,Petroglyph,Petroglyph,Command RTS,Rated E +10 For Everyone +10,7.2,22,9175
Street Fighter III: 3rd Strike - Fight for the Future,2011-08-24,Iron Galaxy Studios,Capcom,2D Fighting,Rated T For Teen,7.5,68,9176
NBA Live 09,2008-10-07,EA Canada,EA Sports,Basketball Sim,Rated E For Everyone,6,,9177
Bombslinger,2018-04-11,Mode4,Mode4,Action Puzzle,Rated E +10 For Everyone +10,7.1,14,9178
Borderlands: Mad Moxxi's Underdome Riot,2009-12-29,Gearbox Software,2K Games,FPS,Rated M For Mature,5.1,44,9179
Cold Iron,2018-01-30,Catch & Release,Catch & Release,Action Adventure,Rated T For Teen,7.7,30,9180
Encleverment Experiment,2009-11-11,Blitz Arcade,Blitz Arcade,Puzzle,Rated E For Everyone,,,9181
Moss,2018-02-27,Polyarc,Sony Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,8.1,226,9182
Formula One 2001,2001-09-24,Studio Liverpool,SCEA,Auto Racing Sim,Rated E For Everyone,5.8,5,9183
Resident Evil 7: biohazard - Banned Footage Vol. 1,2017-01-31,Capcom,Capcom,Survival,Rated M For Mature,6.1,50,9184
G1 Jockey 3,2003-05-28,Koei/Inis,Koei,Horse Racing,Rated E For Everyone,,,9185
Raging Thunder 2,2010-03-04,Polarbit,Polarbit,Auto Racing,,,,9186
Battlezone,2016-10-13,Rebellion,Sony Interactive Entertainment,Vehicle Combat Sim,Rated T For Teen,7.5,52,9187
Out of the Park Baseball 14,2013-04-15,Out Of The Park Developments,Out Of The Park Developments,Baseball Sim,,8.1,66,9188
Railroad Tycoon 3,2003-10-23,PopTop Software,Gathering,Tycoon,Rated E For Everyone,7.9,41,9189
Mario vs. Donkey Kong: Minis March Again!,2009-06-08,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,7.7,22,9190
Dyscourse,2015-03-25,Owlchemy Labs,Owlchemy Labs,Adventure,,4.9,22,9191
The Evil Within: The Executioner,2015-05-25,Tango Gameworks,Bethesda Softworks,Survival,,6.6,41,9192
Shadowgate (2014),2014-08-21,Zojoi Studios,Reverb Triple XP,Point-and-Click,,7,49,9193
Titanfall 2,2016-10-28,Respawn Entertainment,Electronic Arts,FPS,Rated M For Mature,8.6,2604,9194
Battlefield Vietnam,2004-03-14,Digital Illusions,EA Games,FPS,Rated T For Teen,7.8,140,9195
Casey's Contraptions,2011-05-19,Snappy Touch,Snappy Touch,Edutainment,,5.8,,9196
Baldur's Gate: Siege of Dragonspear,2016-03-31,Overhaul Games,Beamdog,Western RPG,,3.9,585,9197
Yu-Gi-Oh! Dungeon Dice Monsters,2003-02-12,Konami,Konami,Card Battle,Rated E For Everyone,7.2,9,9198
Sid Meier's Civilization VI,2016-10-20,Firaxis Games,2K Games,4X Strategy,Rated E +10 For Everyone +10,7.1,1727,9199
Hour of Victory,2007-06-25,Nfusion,Midway,FPS,Rated T For Teen,3.4,22,9200
The Dark Pictures Anthology: Little Hope,2020-10-30,Supermassive Games,Bandai Namco Games,Third-Person Adventure,Rated M For Mature,6.8,367,9201
Lock On: Modern Air Combat,2005-07-26,Eagle Dynamics,Ubisoft,Aircraft Combat Sim,Rated E For Everyone,6.8,14,9202
Capcom Beat 'Em Up Bundle,2018-09-18,Capcom,Capcom,Compilation,Rated T For Teen,7.2,31,9203
Call of Duty Mobile,2019-09-30,TiMi Studios,Activision,Tactical FPS,,7.2,231,9204
Project Nimbus: Complete Edition,2019-05-16,GameCrafterTeam,GameTomo,Third Person Shooter,Rated T For Teen,,,9205
Mucha Lucha! Mascaritas of the Lost Code,2003-11-18,Digital Eclipse,Ubisoft,Wrestling,Rated E For Everyone,2.3,7,9206
Sporos,2013-02-20,,,Action,,,,9207
Cannon Cat,2011-10-09,Loqheart,Loqheart,Action,,,,9208
Riders Republic,2021-10-28,Ubisoft,Ubisoft,Individual Sports,Rated T For Teen,6.8,149,9209
Gravity Hook HD,2010-07-29,Adam Atomic and Danny B,Semi Secret Software,Puzzle,,,,9210
Six-Guns,2011-12-05,Gameloft,Gameloft,Action,,5.4,8,9211
Metal Max Xeno Reborn,2022-06-10,Kadokawa,PQube,RPG,Rated T For Teen,,,9212
The Talos Principle 2,2023-11-02,Croteam,Devolver Digital,First-Person Adventure,,8.9,121,9213
Lost in Harmony,2018-06-21,Digixart Entertainment,Playdius,Rhythm,Rated E For Everyone,6,7,9214
P-O-L-L-E-N,2016-04-19,Mindfield Games,Mindfield Games,First-Person Adventure,,4.3,18,9215
World of Goo,2008-10-12,2D Boy,2D Boy,Action Puzzle,Rated E For Everyone,8.2,662,9216
GripShift,2005-09-12,Sidhe Interactive,Sony Platform Publishing,Auto Racing,Rated E For Everyone,6.4,9,9217
echoshift,2010-02-24,SCEJ,SCEA,Action Puzzle,Rated E For Everyone,7.7,13,9218
Golden Sun: The Lost Age,2003-04-14,Camelot Software Planning,Nintendo,JRPG,Rated E For Everyone,8.7,168,9219
Arizona Sunshine 2,2023-12-05,Vertigo Games,Vertigo Games,Light Gun,Rated M For Mature,6.9,27,9220
Pudding Monsters,2012-12-20,ZeptoLab,ZeptoLab,Action Puzzle,,6.3,7,9221
Pinball Hall of Fame: The Gottlieb Collection,2005-12-06,Farsight Studios,Crave,Pinball,Rated E For Everyone,4,,9222
Star Ocean: Till the End of Time,2004-08-31,Tri-Ace,Square Enix,Action RPG,Rated T For Teen,8.2,114,9223
Disney Infinity 2.0 Edition,2014-09-23,Avalanche Software,Disney Interactive Studios,Action Adventure,Rated E +10 For Everyone +10,6,49,9224
WWE 2K22,2022-03-08,Visual Concepts,2K Games,Wrestling,Rated T For Teen,7.4,204,9225
Pro Evolution Soccer 2014,2013-09-24,Konami,Konami,Soccer Sim,Rated E For Everyone,4,327,9226
Cloudberry Kingdom,2013-07-31,Pwnee Studios,Ubisoft,2D Platformer,Rated T For Teen,7,30,9227
Eternal Legacy,2010-12-08,Gameloft,Gameloft,RPG,,6.5,,9228
Arietta of Spirits,2021-08-20,Third Spirit,Red Art Games,Action Adventure,Rated E +10 For Everyone +10,6.6,7,9229
Dry Drowning,2019-08-02,Studio V,VLG,Visual Novel,,7.9,14,9230
Final Fantasy IV: The After Years,2009-06-01,Matrix Software,Square Enix,JRPG,Rated E For Everyone,6.6,20,9231
Before Your Eyes,2021-04-08,GoodbyeWorld Games,GoodbyeWorld Games,First-Person Adventure,,8.5,111,9232
The Con,2005-10-18,SCEA,SCEA,3D Fighting,Rated T For Teen,4.2,5,9233
Kingdoms of Amalur: Reckoning,2012-02-07,Big Huge Games,Electronic Arts,Action RPG,Rated M For Mature,7.8,475,9234
Ultimate Card Games,,Cosmigo,Telegames,Board,Rated E For Everyone,,,9235
Code Name: S.T.E.A.M.,2015-03-13,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated T For Teen,7.8,144,9236
Half-Minute Hero,2009-10-13,Opus,XSEED Games,RPG,Rated E +10 For Everyone +10,8.2,57,9237
Drop Wizard,2015-01-08,Gionathan Pesaresi,Gionathan Pesaresi,Action,,,,9238
Theme Park,2007-03-20,EA Japan Studio,EA Games,Tycoon,Rated E For Everyone,6.2,5,9239
James Patterson Women's Murder Club: Games of Passion,2009-09-22,THQ,THQ,Hidden Object,Rated T For Teen,,,9240
DEXED,2017-01-31,Ninja Theory,Ninja Theory,Rail Shooter,Rated E +10 For Everyone +10,,,9241
NHL 2K2,2002-02-14,Treyarch,Sega,Hockey Sim,Rated E For Everyone,8.8,6,9242
Art of Balance,2010-02-15,Shin'en,Shin'en,Puzzle,Rated E For Everyone,7.7,10,9243
The Simpsons Arcade,2009-12-21,Iron Monkey,Electronic Arts,2D Beat-'Em-Up,,,,9244
Turbo Overkill,2023-07-18,Trigger Happy Interactive,Apogee Entertainment,FPS,,7.8,42,9245
Mass Effect 3: From Ashes,2012-03-06,BioWare,Electronic Arts,Action RPG,Rated M For Mature,3.8,181,9246
The Escapists 2,2017-08-22,Mouldy Toof Studios,Sold Out,Action,Rated T For Teen,6.7,28,9247
BlazBlue: Chrono Phantasma,2014-03-25,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.6,74,9248
Virtua Fighter 5 Final Showdown,2012-06-06,Sega AM2,Sega,3D Fighting,Rated T For Teen,7.9,47,9249
TOHU,2021-01-28,Fireart Games,The Irregular Corporation,Point-and-Click,,,,9250
Mega Man Battle Network 5: Team Protoman,2005-06-21,Capcom,Capcom,Action RPG,Rated E For Everyone,6.1,26,9251
Dreamcast Collection,2011-02-22,Sega,Sega,Compilation,Rated T For Teen,5.3,13,9252
Tank! Tank! Tank!,2012-11-18,Namco Bandai Games,Namco Bandai Games,Vehicle Combat Sim,Rated E +10 For Everyone +10,5.9,71,9253
Virtua Tennis 3,2007-03-20,Sega AM3,Sega,Tennis,Rated E For Everyone,7.4,25,9254
Crimecraft: Bleedout,2010-12-04,Vogster,Vogster,FPS,Rated M For Mature,5,43,9255
Pinball FX 2: Marvel Pinball - Avengers Chronicles,2013-05-10,Zen Studios,Microsoft Game Studios,Pinball,Rated E For Everyone,,,9256
Seduce Me,2013-01-02,,,Strategy,Rated AO For Adults Only,3.2,36,9257
Call of Duty: Modern Warfare,2019-10-25,Infinity Ward,Activision,FPS,Rated M For Mature,3.7,10123,9258
Driver 2,2000-11-14,Reflections Interactive,Infogrames,Auto Racing,Rated T For Teen,7.5,146,9259
Sonic Jump,2012-10-18,Hardlight Studio,Sega,2D Platformer,,7.6,17,9260
Wrecked: Revenge Revisited,2012-03-28,Supersonic Software,505 Games,Vehicle Combat Sim,Rated E +10 For Everyone +10,5.6,12,9261
Virtua Fighter 5 Online,2007-02-20,Sega AM2,Sega,3D Fighting,Rated T For Teen,7.3,44,9262
Bujingai: The Forsaken City,2004-07-25,Taito Corporation,Bam Entertainment,3D Beat-'Em-Up,Rated T For Teen,6.9,13,9263
Silent Hill HD Collection,2012-03-20,Hijinx Studios,Konami,Compilation,Rated M For Mature,4.8,189,9264
Help Wanted: 50 Wacky Jobs,2009-05-12,Hudson Soft,Hudson Entertainment,Simulation,Rated E +10 For Everyone +10,8,,9265
Joe Danger Infinity,2014-01-09,Hello Games,Hello Games,Action,,6.3,7,9266
Pacific Rim,2013-07-12,Yuke's,Yuke's,3D Fighting,Rated E +10 For Everyone +10,4.7,39,9267
Halo 3: ODST,2009-09-22,Bungie,Microsoft Game Studios,FPS,Rated M For Mature,7.9,1147,9268
Mad Riders,2012-05-30,Techland,Ubisoft,Auto Racing,Rated E For Everyone,7.1,17,9269
Arca's Path VR,2018-12-04,Rebellion,Rebellion,Adventure,Rated E +10 For Everyone +10,,,9270
Loretta,2023-02-16,Yakov Butuzoff,DANGEN Entertainment,Adventure,,6.7,7,9271
Knights in the Nightmare,2009-06-03,Sting,Atlus,Real-Time Strategy,Rated T For Teen,7.6,10,9272
Dark Souls: Prepare to Die Edition,2012-08-24,From Software,Bandai Namco Games,Action RPG,Rated M For Mature,7.8,2574,9273
Overlord: Dark Legend,2009-06-23,Climax Studios,Codemasters,Action Adventure,Rated T For Teen,7.3,12,9274
BUTCHER,2017-05-09,Transhuman Design,Crunching Koalas,2D Platformer,Rated M For Mature,7.2,11,9275
Kinect Adventures!,2010-11-04,Good Science Studio,Microsoft Game Studios,Party,Rated E For Everyone,6.3,134,9276
Sacred Citadel,2013-04-17,Southend Interactive,Deep Silver,2D Beat-'Em-Up,Rated T For Teen,6.4,19,9277
Close Combat: First to Fight,2005-04-06,Destineer,2K Games,Tactical FPS,Rated T For Teen,,,9278
Run Like Hell!,2014-09-16,Mass Creation,Mass Creation,2D Platformer,Rated T For Teen,4.3,,9279
River City Ransom,2004-05-25,Million,Atlus,2D Beat-'Em-Up,Rated T For Teen,7.4,7,9280
The Legend of Zelda: The Minish Cap,2005-01-10,Flagship,Nintendo,Open-World Action,Rated E For Everyone,8.8,498,9281
Burnout 3: Takedown,2004-09-07,Criterion Games,EA Games,Auto Racing,Rated T For Teen,8.9,164,9282
Shotest Shogi,2008-09-10,AI Factory,Microsoft Game Studios,Board,Rated E For Everyone,,,9283
Endless Space 2,2017-05-18,Amplitude Studios,Sega,4X Strategy,,7.9,190,9284
Hearthstone: Heroes of Warcraft - Curse of Naxxramas,2014-07-22,Blizzard Entertainment,Blizzard Entertainment,Card Battle,,6.2,93,9285
Darius Cozmic Collection: Console,2020-06-16,M2,ININ Games,Compilation,,,,9286
Lichtspeer,2017-09-07,Lichthund,Crunching Koalas,Action Adventure,Rated T For Teen,7.1,13,9287
Killzone: Shadow Fall - Intercept,2014-06-24,Guerrilla,SCEA,FPS,Rated M For Mature,6.8,79,9288
Alwa's Awakening,2017-02-02,Elden Pixels,Elden Pixels,Metroidvania,Rated E For Everyone,7.1,15,9289
The Sims 3: Ambitions,2010-06-01,EA Redwood Shores,Electronic Arts,Virtual Life,Rated T For Teen,7,52,9290
The Elder Scrolls: Legends,2017-05-31,Bethesda Softworks,Bethesda Softworks,Card Battle,,5.5,114,9291
FlatOut,2005-07-12,Bugbear,Empire Interactive,Auto Racing,Rated T For Teen,7.7,9,9292
Tobe & Friends Hookshot Escape,2012-03-01,Secret Base,Secret Base,Action,,,,9293
Star Fox 64 3D,2011-09-09,Q-Games,Nintendo,Rail Shooter,Rated E +10 For Everyone +10,8,285,9294
Go! Go! Kokopolo,2011-08-11,Tanukii Studios,Room 4 Games Limited,2D Platformer,Rated E For Everyone,,,9295
Sydney 2000,2000-08-25,Attention To Detail,Eidos Interactive,Athletics,Rated E For Everyone,4.9,8,9296
Tell Me Why,2020-08-27,DONTNOD Entertainment,Xbox Game Studios,Adventure,Rated M For Mature,5.9,321,9297
We Ski,2008-05-13,Bandai Namco Games,Namco Bandai Games,Skiing,Rated E For Everyone,4.8,6,9298
Momodora: Reverie Under the Moonlight,2017-03-16,Bombservice,Active Gaming Media,Metroidvania,Rated T For Teen,7.1,48,9299
The Sims 4: Get to Work,2015-03-31,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,5.7,154,9300
Aztech: Forgotten Gods,2022-03-10,Lienzo,Lienzo,Action Adventure,Rated T For Teen,3.6,5,9301
Hatred,2015-06-01,Destructive Creations,Destructive Creations,Top-Down Shoot-'Em-Up,,4.8,736,9302
Family Guy: Back to the Multiverse,2012-11-20,Heavy Iron Studios,Activision,Action Adventure,Rated M For Mature,5.1,61,9303
ChuChu Rocket!,2001-06-10,Sonic Team,Sega,Puzzle,Rated E For Everyone,6,6,9304
Din's Curse,2010-03-31,Soldak Entertainment,Soldak Entertainment,Action RPG,Rated T For Teen,7.4,25,9305
Just Cause 2,2010-03-23,Avalanche Studios,Square Enix,Open-World Action,Rated M For Mature,7.9,257,9306
Mega Man Zero / ZX Legacy Collection,2020-02-25,Access Games,Capcom,Compilation,Rated T For Teen,7,101,9307
Star Wars: Empire at War,2006-02-15,Petroglyph,LucasArts,Real-Time Strategy,Rated T For Teen,8.3,242,9308
SpinTires,2014-06-12,Oovee Game Studios,Oovee Game Studios,Vehicle Sim,Rated E For Everyone,7.8,169,9309
Castlevania: The Adventure ReBirth,2009-12-28,M2,Konami,2D Platformer,Rated T For Teen,7.6,28,9310
Wipeout HD,2008-09-25,Studio Liverpool,SCEA,Future Racing,Rated E +10 For Everyone +10,8.1,105,9311
Shrek: Hassle at the Castle,2002-10-10,TOSE,TDK Mediactive,2D Beat-'Em-Up,Rated E For Everyone,7.4,8,9312
Amazing Discoveries In Outer Space,2016-02-02,Cosmic Picnic,Cosmic Picnic,Open-World Action,Rated E For Everyone,6,10,9313
