title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
TRON RUN/r,2016-02-16,Sanzaru Games,Disney Interactive Studios,3D Platformer,Rated E +10 For Everyone +10,6.5,22,76
Traitors Gate,2000-04-30,Daydream Software,DreamCatcher Interactive,Adventure,Rated E For Everyone,4.6,5,77
Resident Evil: Revelations,2012-02-07,Capcom,Capcom,Survival,Rated M For Mature,8.4,577,78
MechWarrior 4: Black Knight Expansion,2001-10-31,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Rated T For Teen,6.8,8,79
Wallace & Gromit in Project Zoo,2003-10-07,Frontier Developments,Bam Entertainment,3D Platformer,Rated E For Everyone,2.3,39,80
Crusty Demons,2006-06-27,Climax Studios,Evolved Games,Arcade Racing,Rated M For Mature,,,81
N.O.V.A. 2 - Near Orbit Vanguard Alliance,2010-12-16,Gameloft,Gameloft,FPS,,6.8,18,82
Dark Arcana: The Carnival,2017-03-17,Artifex Mundi,Artifex Mundi,Hidden Object,Rated T For Teen,,,83
Regalia: Of Men and Monarchs,2017-05-18,Pixelated Milk,Klabater,Turn-Based Tactics,,7.7,39,84
Train Fever,2014-09-04,Urban Games,Gambitious,Train Sim,,6.9,93,85
Star Trek: Elite Force II,2003-06-25,Ritual Entertainment,Activision,FPS,Rated T For Teen,8,40,86
Street Supremacy,2006-02-28,Genki,Konami,Auto Racing Sim,Rated E For Everyone,,,87
Tales of Symphonia Remastered,2023-02-17,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,3.8,23,88
War for the Overworld,2015-04-02,Subterranean Games,Subterranean Games,Real-Time Strategy,,7.9,132,89
Super Smash Bros. Ultimate,2018-12-07,Nintendo,Nintendo,2D Fighting,Rated E +10 For Everyone +10,8.6,4133,90
Lotus Challenge,2003-04-30,Kuju Entertainment,Xicat Interactive,Auto Racing Sim,Rated E For Everyone,,,91
The Sims 2: Nightlife,2005-09-13,Maxis,EA Games,Virtual Life,Rated T For Teen,4.2,35,92
Insurgency: Sandstorm,2018-12-12,New World Interactive,Focus Home Interactive,Tactical FPS,Rated M For Mature,8,250,93
Yo-kai Watch,2015-11-06,Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,8.1,220,94
The Great Circus Mystery Starring Mickey & Minnie,2003-11-12,Klein Computer Entertainment,Capcom,2D Platformer,Rated E For Everyone,,,95
MechCommander 2,2001-07-18,Microsoft Game Studios,Microsoft Game Studios,Strategy,Rated T For Teen,7.8,33,96
Pirates vs Ninjas Dodgeball,2008-09-03,Blazing Lizard,SouthPeak Games,Individual Sports,Rated E +10 For Everyone +10,8,,97
After Us,2023-05-23,Piccolo,Private Division,Action Adventure,Rated T For Teen,6,31,98
Gigantic Army,2014-02-05,Astro Port,Nyu Media,Action,,6.7,10,99
SaGa Scarlet Grace: Ambitions,2019-12-03,Square Enix,Square Enix,JRPG,Rated T For Teen,6.3,16,100
Haven Park,2021-08-05,Bubble Studio,Mooneye Studios,Third-Person Adventure,Rated E For Everyone,7.5,11,101
Capsized,2013-07-05,Koolhaus Games,Namco Bandai Games,2D Platformer,Rated T For Teen,6.8,20,102
Pipe Mania,2008-09-26,Razorworks,Empire Interactive,Action Puzzle,Rated E For Everyone,,,103
The Godfather,2006-03-21,Page 44 Studios,Electronic Arts,Open-World Action,Rated M For Mature,8.1,14,104
Raiden IV x Mikado Remix,2023-01-31,Moss,NIS America,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,,,105
Frostpunk,2018-04-24,11 bit studios,Merge Games,Management,Rated M For Mature,8.4,1009,106
Phantasy Star Universe,2006-10-25,Sonic Team,Sega,Action RPG,Rated T For Teen,7.1,23,107
Disney/Pixar Toy Story Racer,2001-03-05,Traveller's Tales,Activision,Auto Racing,Rated E For Everyone,8,22,108
Harry Potter for Kinect,2012-10-09,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,4.7,21,109
Narco Terror,2013-07-31,Koch Media,Deep Silver,Third Person Shooter,Rated M For Mature,5.9,13,110
Medieval Dynasty,2020-12-17,Render Cube,Toplitz Productions,Survival,Rated T For Teen,6.4,83,111
Max: The Curse of Brotherhood,2013-12-20,Press Play,Microsoft Game Studios,Action Adventure,Rated E +10 For Everyone +10,7.4,309,112
Need for Speed: ProStreet,2007-11-15,EA Black Box,EA Games,Auto Racing Sim,Rated E +10 For Everyone +10,7,73,113
Saints Row IV: Re-Elected & Gat Out of Hell,2015-01-20,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,6.6,48,114
Monster Jam Steel Titans 2,2021-03-02,Rainbow Studios,THQ Nordic,Auto Racing,Rated E For Everyone,4.6,5,115
Picross S 3,2019-04-25,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Rated E For Everyone,8.3,14,116
Mighty Goose,2021-06-05,Blastmode,Playism,2D Platformer,Rated E +10 For Everyone +10,7.5,13,117
World War II: Frontline Command,2003-06-27,The Bitmap Brothers,Strategy First,Real-Time Strategy,Rated T For Teen,6,,118
Vempire,2009-10-22,impressionware,impressionware,Logic Puzzle,Rated E For Everyone,,,119
World War II: Prisoner of War,2002-08-26,Wide Games,Codemasters,Third Person Shooter,Rated T For Teen,5.5,,120
ESPN Final Round Golf 2002,2001-08-28,Konami Computer Entertainment Nagoya,Konami,Golf Sim,Rated E For Everyone,,,121
